,precision,recall,f1-score,support
94,0.18867924528301888,0.47619047619047616,0.2702702702702703,42.0
95,0.136986301369863,0.22727272727272727,0.17094017094017094,44.0
96,0.8571428571428571,0.15384615384615385,0.2608695652173913,39.0
97,0.30612244897959184,0.32608695652173914,0.3157894736842105,46.0
98,0.5806451612903226,0.6666666666666666,0.6206896551724138,27.0
99,0.9333333333333333,0.42424242424242425,0.5833333333333334,33.0
100,0.8461538461538461,0.28205128205128205,0.4230769230769231,39.0
101,0.6153846153846154,0.19047619047619047,0.2909090909090909,42.0
102,0.42857142857142855,0.7692307692307693,0.5504587155963303,39.0
103,0.47058823529411764,0.5714285714285714,0.5161290322580645,42.0
104,0.24324324324324326,0.4186046511627907,0.3076923076923077,43.0
105,0.5675675675675675,0.5675675675675675,0.5675675675675675,37.0
106,0.2926829268292683,0.27906976744186046,0.2857142857142857,43.0
107,0.35714285714285715,0.3409090909090909,0.3488372093023256,44.0
108,0.14864864864864866,0.24444444444444444,0.18487394957983194,45.0
109,0.42857142857142855,0.14285714285714285,0.21428571428571427,42.0
110,0.6153846153846154,0.5853658536585366,0.6,41.0
111,0.2597402597402597,0.47619047619047616,0.33613445378151263,42.0
112,0.21052631578947367,0.17777777777777778,0.1927710843373494,45.0
113,0.4117647058823529,0.3181818181818182,0.358974358974359,44.0
114,0.47058823529411764,0.35555555555555557,0.4050632911392405,45.0
115,0.34285714285714286,0.2727272727272727,0.3037974683544304,44.0
116,0.5,0.09523809523809523,0.16,42.0
117,0.1875,0.20454545454545456,0.1956521739130435,44.0
118,0.3,0.225,0.2571428571428571,40.0
119,0.45,0.6617647058823529,0.5357142857142857,68.0
120,0.6153846153846154,0.1951219512195122,0.2962962962962963,41.0
121,0.1774193548387097,0.2619047619047619,0.21153846153846154,42.0
122,0.96,0.5454545454545454,0.6956521739130435,44.0
123,0.3069306930693069,0.7209302325581395,0.4305555555555556,43.0
124,0.3333333333333333,0.05128205128205128,0.08888888888888889,39.0
125,0.46153846153846156,0.15384615384615385,0.23076923076923078,39.0
126,0.1724137931034483,0.13157894736842105,0.14925373134328357,38.0
127,0.18292682926829268,0.36585365853658536,0.24390243902439024,41.0
128,0.08294930875576037,0.42857142857142855,0.138996138996139,42.0
129,1.0,0.041666666666666664,0.08,24.0
130,0.2692307692307692,0.3333333333333333,0.2978723404255319,42.0
131,0.2222222222222222,0.14285714285714285,0.17391304347826086,42.0
132,0.22727272727272727,0.11904761904761904,0.15625,42.0
133,0.32608695652173914,0.3488372093023256,0.33707865168539325,43.0
134,0.6666666666666666,0.19047619047619047,0.2962962962962963,42.0
135,0.25,0.030303030303030304,0.05405405405405406,33.0
136,0.36363636363636365,0.3076923076923077,0.3333333333333333,39.0
137,0.3333333333333333,0.18604651162790697,0.23880597014925373,43.0
138,0.625,0.24390243902439024,0.3508771929824561,41.0
139,0.125,0.07142857142857142,0.09090909090909091,42.0
140,0.42105263157894735,0.23529411764705882,0.3018867924528302,34.0
141,0.5,0.25,0.3333333333333333,32.0
142,0.6363636363636364,0.35,0.45161290322580644,40.0
143,0.4,0.17391304347826086,0.24242424242424243,46.0
144,0.2972972972972973,0.2619047619047619,0.27848101265822783,42.0
145,0.375,0.06666666666666667,0.11320754716981132,45.0
146,0.192,0.5454545454545454,0.28402366863905326,44.0
147,0.2361111111111111,0.7727272727272727,0.3617021276595745,44.0
148,0.6129032258064516,0.4418604651162791,0.5135135135135135,43.0
149,0.7,0.32558139534883723,0.4444444444444444,43.0
150,0.75,0.5454545454545454,0.631578947368421,44.0
151,1.0,0.6571428571428571,0.7931034482758621,35.0
152,0.7419354838709677,0.6388888888888888,0.6865671641791045,36.0
153,0.625,0.23809523809523808,0.3448275862068966,42.0
154,0.3157894736842105,0.5714285714285714,0.4067796610169492,42.0
155,0.6,0.23076923076923078,0.3333333333333333,39.0
156,0.37037037037037035,0.8333333333333334,0.5128205128205128,36.0
157,0.8823529411764706,0.5172413793103449,0.6521739130434783,29.0
158,0.3111111111111111,0.3888888888888889,0.345679012345679,36.0
159,0.6296296296296297,0.38636363636363635,0.4788732394366197,44.0
160,0.6111111111111112,0.4583333333333333,0.5238095238095238,48.0
161,0.27906976744186046,0.26666666666666666,0.2727272727272727,45.0
162,0.11428571428571428,0.27906976744186046,0.16216216216216217,43.0
163,0.2,0.22727272727272727,0.2127659574468085,44.0
164,0.3333333333333333,0.3055555555555556,0.3188405797101449,36.0
165,0.4222222222222222,0.926829268292683,0.5801526717557252,41.0
166,0.07792207792207792,0.1276595744680851,0.0967741935483871,47.0
167,0.6875,0.2391304347826087,0.3548387096774194,46.0
168,0.3150684931506849,0.5227272727272727,0.39316239316239315,44.0
169,0.4423076923076923,0.5476190476190477,0.48936170212765956,42.0
170,0.7368421052631579,0.3684210526315789,0.49122807017543857,38.0
171,0.5172413793103449,0.3409090909090909,0.410958904109589,44.0
172,0.109375,0.16279069767441862,0.1308411214953271,43.0
173,0.7272727272727273,0.1951219512195122,0.3076923076923077,41.0
174,0.25,0.5789473684210527,0.3492063492063492,38.0
175,0.7333333333333333,0.36666666666666664,0.4888888888888889,30.0
176,0.5172413793103449,0.3409090909090909,0.410958904109589,44.0
177,0.3076923076923077,0.0975609756097561,0.14814814814814814,41.0
178,0.40476190476190477,0.37777777777777777,0.39080459770114945,45.0
179,0.37037037037037035,0.47619047619047616,0.4166666666666667,42.0
180,0.3125,0.2631578947368421,0.2857142857142857,38.0
181,0.15789473684210525,0.2608695652173913,0.19672131147540983,46.0
182,0.10638297872340426,0.35714285714285715,0.16393442622950818,42.0
183,0.42857142857142855,0.075,0.1276595744680851,40.0
184,0.1875,0.5526315789473685,0.28,38.0
185,0.5789473684210527,0.275,0.3728813559322034,40.0
186,0.17307692307692307,0.20930232558139536,0.18947368421052632,43.0
187,0.24,0.13953488372093023,0.17647058823529413,43.0
188,0.40540540540540543,0.39473684210526316,0.4,38.0
189,0.1504424778761062,0.8095238095238095,0.2537313432835821,42.0
190,0.31007751937984496,0.8695652173913043,0.45714285714285713,46.0
191,0.19047619047619047,0.09302325581395349,0.125,43.0
192,0.41379310344827586,0.8,0.5454545454545454,45.0
193,0.6,0.07317073170731707,0.13043478260869565,41.0
194,0.4,0.13953488372093023,0.20689655172413793,43.0
195,0.7941176470588235,0.675,0.7297297297297297,40.0
accuracy,0.3092898893172491,0.3092898893172491,0.3092898893172491,0.3092898893172491
macro avg,0.38186264587700036,0.30848474805801035,0.2997788522066234,8041.0
weighted avg,0.3765177897208432,0.3092898893172491,0.2984217663093445,8041.0
